citing_pub,cited_pub,cited_pub_normalized,cited_pub_country,cited_ipc,cited_cpc,cited_national_class,category,citation_type,cited_npl_text
8631161,5856931,5856931,US,,,702182,cited by examiner,patcit,
8631161,7239877,7239877,US,,,4554563,cited by examiner,patcit,
8631161,7593751,7593751,US,,,4555561,cited by examiner,patcit,
8631161,2001/0042078,20010042078,US,,,707500,cited by examiner,patcit,
8631161,2003/0069716,20030069716,US,,,702188,cited by examiner,patcit,
8631161,2003/0178485,20030178485,US,,,235435,cited by examiner,patcit,
8631161,2004/0128613,20040128613,US,,,715500,cited by examiner,patcit,
8631161,2005/0125085,20050125085,US,,,700 83,cited by examiner,patcit,
8631161,2007/0283049,20070283049,US,,,709246,cited by examiner,patcit,
8631161,2008/0189439,20080189439,US,,,709248,cited by examiner,patcit,
8631161,2008/0256174,20080256174,US,,,709203,cited by examiner,patcit,
8640089,6727884,6727884,US,,,345156,cited by examiner,patcit,
8640089,6965368,6965368,US,,,345156,cited by examiner,patcit,
8640089,2006/0095915,20060095915,US,,,718100,cited by examiner,patcit,
8640089,2007/0180490,20070180490,US,,,726  1,cited by examiner,patcit,
8640089,2008/0163164,20080163164,US,,,717106,cited by examiner,patcit,
8640089,2009/0024944,20090024944,US,,,715765,cited by examiner,patcit,
8640089,2011/0231790,20110231790,US,,,715779,cited by examiner,patcit,
8640089,,,,,,,cited by examiner,nplcit,"Title: Model-Driven Dashboards for Business Performance Reporting, author: Chowdhary et al, source: IEEE, dated: 2006."
8645529,6892382,6892382,US,,,,cited by applicant,patcit,
8645529,7039559,7039559,US,,,,cited by applicant,patcit,
8645529,7167821,7167821,US,,,,cited by applicant,patcit,
8645529,7392421,7392421,US,,,,cited by applicant,patcit,
8645529,7689862,7689862,US,,,,cited by applicant,patcit,
8645529,7707572,7707572,US,,,,cited by applicant,patcit,
8645529,7712102,7712102,US,,,,cited by applicant,patcit,
8645529,8104041,8104041,US,,,718105,cited by examiner,patcit,
8645529,8255529,8255529,US,,,709224,cited by examiner,patcit,
8645529,2002/0129157,20020129157,US,,,,cited by applicant,patcit,
8645529,2003/0050932,20030050932,US,,,,cited by applicant,patcit,
8645529,2003/0051066,20030051066,US,,,,cited by applicant,patcit,
8645529,2004/0260602,20040260602,US,,,,cited by applicant,patcit,
8645529,2005/0240935,20050240935,US,,,,cited by applicant,patcit,
8645529,2007/0156733,20070156733,US,,,,cited by applicant,patcit,
8645529,2007/0204266,20070204266,US,,,,cited by applicant,patcit,
8645529,2008/0082693,20080082693,US,,,,cited by applicant,patcit,
8645529,2008/0222638,20080222638,US,,,,cited by applicant,patcit,
8645529,2008/0300851,20080300851,US,,,,cited by applicant,patcit,
8645529,2009/0199196,20090199196,US,,,718104,cited by examiner,patcit,
8645529,2009/0225763,20090225763,US,,,,cited by applicant,patcit,
8645529,2009/0271472,20090271472,US,,,,cited by applicant,patcit,
8645529,2009/0276771,20090276771,US,,,,cited by applicant,patcit,
8645529,2010/0125477,20100125477,US,,,,cited by applicant,patcit,
8645529,2011/0276951,20110276951,US,,,717140,cited by examiner,patcit,
8645529,2410580,2410580,GB,,,,cited by applicant,patcit,
8645529,,,,,,,cited by applicant,nplcit,"Israr et al., “Automatic generation of layered queuing software performance models from commonly available traces,” Proceedings of the 5th international workshop on Software and performance, Palma de Mallorca, Spain, pp. 147-158 (Jul. 2005)."
8645529,,,,,,,cited by applicant,nplcit,"Pu et al., “An Observation-Based Approach to Performance Characterization of Distributed n-Tier Applications,” IISWC '07 Proceedings of the 2007 IEEE 10th International Symposium on Workload Characterization, 10 pages (Sep. 2007)."
8645529,,,,,,,cited by applicant,nplcit,"RightScale, Inc., “Set up Autoscaling using Alert Escalations?,” <http://support.rightscale.com/03-Tutorials/02-AWS/02-Website—Edition/How—do—I—set—up—Autoscaling%3f> 13 pages (accessed Nov. 15, 2010)."
